schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,email_reminder_log,Users can view their own reminder logs,PERMISSIVE,{authenticated},SELECT,"((user_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))",null
public,email_reminder_settings,Only admins can insert email reminder settings,PERMISSIVE,{authenticated},INSERT,null,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text))))"
public,email_reminder_settings,Only admins can update email reminder settings,PERMISSIVE,{authenticated},UPDATE,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text))))",null
public,email_reminder_settings,Only admins can view email reminder settings,PERMISSIVE,{authenticated},SELECT,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text))))",null
public,employee_competencies,Users can delete own competencies,PERMISSIVE,{authenticated},DELETE,"((user_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))) OR (EXISTS ( SELECT 1
   FROM (profiles p
     JOIN profiles target ON ((target.id = employee_competencies.user_id)))
  WHERE ((p.id = auth.uid()) AND (p.role = 'org_admin'::text) AND (p.organization_id = target.organization_id)))))",null
public,employee_competencies,employee_competencies_delete_new,PERMISSIVE,{authenticated},DELETE,((auth_is_admin() = true) OR (auth_is_org_admin() = true)),null
public,employee_competencies,employee_competencies_insert_new,PERMISSIVE,{authenticated},INSERT,null,((user_id = auth.uid()) OR (auth_is_admin() = true) OR (auth_is_org_admin() = true))
public,employee_competencies,employee_competencies_select_new,PERMISSIVE,{authenticated},SELECT,((user_id = auth.uid()) OR (auth_is_admin() = true) OR (auth_is_org_admin() = true)),null
public,employee_competencies,employee_competencies_update_new,PERMISSIVE,{authenticated},UPDATE,((user_id = auth.uid()) OR (auth_is_admin() = true) OR (auth_is_org_admin() = true)),((auth_is_admin() = true) OR (auth_is_org_admin() = true) OR ((user_id = auth.uid()) AND (status <> 'approved'::text)))
public,inspections,Editors can delete inspections,PERMISSIVE,{public},DELETE,can_access_vessel(vessel_id),null
public,inspections,Users can create inspections in accessible vessels,PERMISSIVE,{public},INSERT,null,can_access_vessel(vessel_id)
public,inspections,Users can update inspections in own org,PERMISSIVE,{public},UPDATE,can_access_vessel(vessel_id),null
public,inspections,Users can view inspections from accessible vessels,PERMISSIVE,{public},SELECT,"(vessel_id IN ( SELECT v.id
   FROM (vessels v
     JOIN assets a ON ((v.asset_id = a.id)))
  WHERE (a.organization_id = ( SELECT profiles.organization_id
           FROM profiles
          WHERE (profiles.id = auth.uid())))))",null
public,inspections,inspections_delete_policy,PERMISSIVE,{authenticated},DELETE,user_can_access_vessel(vessel_id),null
public,inspections,inspections_insert_policy,PERMISSIVE,{authenticated},INSERT,null,user_can_access_vessel(vessel_id)
public,inspections,inspections_select_policy,PERMISSIVE,{authenticated},SELECT,user_can_access_vessel(vessel_id),null
public,inspections,inspections_update_policy,PERMISSIVE,{authenticated},UPDATE,user_can_access_vessel(vessel_id),user_can_access_vessel(vessel_id)
public,notification_email_log,Admins can insert notification logs,PERMISSIVE,{authenticated},INSERT,null,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text))))"
public,notification_email_log,Admins can update notification logs,PERMISSIVE,{authenticated},UPDATE,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text))))",null
public,notification_email_log,Admins can view notification logs,PERMISSIVE,{authenticated},SELECT,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text))))",null
public,notification_email_recipients,Admins can insert recipient logs,PERMISSIVE,{authenticated},INSERT,null,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text))))"
public,notification_email_recipients,Admins can update recipient logs,PERMISSIVE,{authenticated},UPDATE,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text))))",null
public,notification_email_recipients,Admins can view recipient logs,PERMISSIVE,{authenticated},SELECT,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text))))",null
storage,objects,Admins can delete controlled documents,PERMISSIVE,{authenticated},DELETE,"((bucket_id = 'documents'::text) AND ((storage.foldername(name))[1] = 'controlled-documents'::text) AND (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['admin'::text, 'org_admin'::text]))))))",null
storage,objects,Admins can upload controlled documents,PERMISSIVE,{authenticated},INSERT,null,"((bucket_id = 'documents'::text) AND ((storage.foldername(name))[1] = 'controlled-documents'::text) AND (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['admin'::text, 'org_admin'::text]))))))"
storage,objects,Anyone can view avatars,PERMISSIVE,{public},SELECT,(bucket_id = 'avatars'::text),null
storage,objects,Editors can delete 3D models,PERMISSIVE,{authenticated},DELETE,"((bucket_id = '3d-models'::text) AND ((storage.foldername(name))[1] IN ( SELECT (profiles.organization_id)::text AS organization_id
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['editor'::text, 'org_admin'::text, 'admin'::text]))))))",null
storage,objects,Editors can delete scan data,PERMISSIVE,{authenticated},DELETE,"((bucket_id = 'scan-data'::text) AND ((storage.foldername(name))[1] IN ( SELECT (profiles.organization_id)::text AS organization_id
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['editor'::text, 'org_admin'::text, 'admin'::text]))))))",null
storage,objects,Editors can delete scan images,PERMISSIVE,{authenticated},DELETE,"((bucket_id = 'scan-images'::text) AND ((storage.foldername(name))[1] IN ( SELECT (profiles.organization_id)::text AS organization_id
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['editor'::text, 'org_admin'::text, 'admin'::text]))))))",null
storage,objects,Editors can delete vessel images,PERMISSIVE,{authenticated},DELETE,"((bucket_id = 'vessel-images'::text) AND ((storage.foldername(name))[1] IN ( SELECT (profiles.organization_id)::text AS organization_id
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['editor'::text, 'org_admin'::text, 'admin'::text]))))))",null
storage,objects,Users can delete own avatar,PERMISSIVE,{authenticated},DELETE,((bucket_id = 'avatars'::text) AND ((storage.foldername(name))[1] = (auth.uid())::text)),null
storage,objects,Users can delete their own competency documents,PERMISSIVE,{authenticated},DELETE,"((bucket_id = 'documents'::text) AND (((storage.foldername(name))[2] = (auth.uid())::text) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['admin'::text, 'org_admin'::text])))))))",null
storage,objects,Users can update own avatar,PERMISSIVE,{authenticated},UPDATE,((bucket_id = 'avatars'::text) AND ((storage.foldername(name))[1] = (auth.uid())::text)),null
storage,objects,Users can update own org 3D models,PERMISSIVE,{authenticated},UPDATE,"((bucket_id = '3d-models'::text) AND ((storage.foldername(name))[1] IN ( SELECT (profiles.organization_id)::text AS organization_id
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['editor'::text, 'org_admin'::text, 'admin'::text]))))))",null
storage,objects,Users can update own org scan data,PERMISSIVE,{authenticated},UPDATE,"((bucket_id = 'scan-data'::text) AND ((storage.foldername(name))[1] IN ( SELECT (profiles.organization_id)::text AS organization_id
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['editor'::text, 'org_admin'::text, 'admin'::text]))))))",null
storage,objects,Users can update own org scan images,PERMISSIVE,{authenticated},UPDATE,"((bucket_id = 'scan-images'::text) AND ((storage.foldername(name))[1] IN ( SELECT (profiles.organization_id)::text AS organization_id
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['editor'::text, 'org_admin'::text, 'admin'::text]))))))",null
storage,objects,Users can update own org vessel images,PERMISSIVE,{authenticated},UPDATE,"((bucket_id = 'vessel-images'::text) AND ((storage.foldername(name))[1] IN ( SELECT (profiles.organization_id)::text AS organization_id
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['editor'::text, 'org_admin'::text, 'admin'::text]))))))",null
storage,objects,Users can update their own competency documents,PERMISSIVE,{authenticated},UPDATE,((bucket_id = 'documents'::text) AND ((storage.foldername(name))[2] = (auth.uid())::text)),null
storage,objects,Users can upload 3D models for own org vessels,PERMISSIVE,{authenticated},INSERT,null,"((bucket_id = '3d-models'::text) AND ((storage.foldername(name))[1] IN ( SELECT (profiles.organization_id)::text AS organization_id
   FROM profiles
  WHERE (profiles.id = auth.uid()))))"
storage,objects,Users can upload own avatar,PERMISSIVE,{authenticated},INSERT,null,((bucket_id = 'avatars'::text) AND ((storage.foldername(name))[1] = (auth.uid())::text))
storage,objects,Users can upload scan data for own org,PERMISSIVE,{authenticated},INSERT,null,"((bucket_id = 'scan-data'::text) AND ((storage.foldername(name))[1] IN ( SELECT (profiles.organization_id)::text AS organization_id
   FROM profiles
  WHERE (profiles.id = auth.uid()))))"
storage,objects,Users can upload scan images for own org,PERMISSIVE,{authenticated},INSERT,null,"((bucket_id = 'scan-images'::text) AND ((storage.foldername(name))[1] IN ( SELECT (profiles.organization_id)::text AS organization_id
   FROM profiles
  WHERE (profiles.id = auth.uid()))))"
